,Team,Position,Sacks,Def INT,Fum Rec,Saf,TD,Def 2pt Ret,Def Ret TD,Pts Allow
0,,DEF,8,2,1,-,,-,-,
1,,DEF,2,1,2,-,,-,-,
2,,DEF,3,2,1,-,,-,-,
3,,DEF,3,1,1,-,,-,-,
4,,DEF,1,3,-,-,,-,-,
5,,DEF,3,1,1,-,,-,-,
6,,DEF,3,2,-,-,,-,-,
7,,DEF,4,1,-,-,,-,-,
8,,DEF,3,-,2,-,,-,-,
9,,DEF,1,2,-,-,,-,-,
10,,DEF,2,1,1,-,,-,-,
11,,DEF,2,1,-,1,,-,-,
12,,DEF,2,1,-,-,,-,-,
13,,DEF,3,-,-,-,,-,-,
14,,DEF,4,-,-,-,,-,-,
15,,DEF,1,1,-,-,,-,-,
16,,DEF,2,-,1,-,,-,-,
17,,DEF,2,-,1,-,,-,-,
18,,DEF,3,-,-,-,,-,-,
19,,DEF,1,1,-,-,,-,-,
20,,DEF,2,-,-,-,,-,-,
21,,DEF,3,-,-,-,,-,-,
22,,DEF,-,-,1,-,,-,-,
23,,DEF,1,-,-,-,,-,-,
24,,DEF,1,-,-,-,,-,-,
25,,DEF,2,-,1,-,,-,-,
26,,DEF,1,-,-,-,,-,-,
27,,DEF,1,-,-,-,,-,-,
28,,DEF,1,-,-,-,,-,-,
29,,DEF,3,-,-,-,,-,-,
30,,DEF,-,-,-,-,,-,-,
31,,DEF,-,-,-,-,,-,-,
