Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass Rate,Rush Att,Rush Yds,Rush YPC,Rush TD,Rec,Rec Yds,Rec Yds/Rec,Rec TD,FR TD,SFTY,FF,FR,Rec FUM,Rush FUM,INT,INT TD
49ers,223,138,61.9,6.7,1423,8,78.5,182,744,4.1,4,138,1491,10.8,8,0,0,6,2,4,4,8,0
Bears,252,148,58.7,6.6,1555,6,78,193,839,4.3,6,148,1654,11.2,6,1,0,6,4,2,3,5,0
Bengals,250,159,63.6,7.5,1830,15,94.6,191,936,4.9,6,159,1870,11.8,15,0,0,1,1,1,1,7,0
Bills,235,161,68.5,7.3,1628,12,99.5,194,887,4.6,9,161,1715,10.7,12,0,0,7,5,4,2,4,0
Broncos,218,144,66.1,6.9,1381,8,92.5,152,654,4.3,5,144,1511,10.5,8,0,0,6,3,3,4,3,0
Browns,286,192,67.1,7.5,2017,16,97.9,170,645,3.8,9,192,2159,11.2,16,0,1,8,7,2,6,7,1
Buccaneers,250,167,66.8,7.1,1577,9,84.3,154,462,3,5,167,1771,10.6,9,0,1,7,3,1,1,9,1
Cardinals,271,171,63.1,6.9,1731,12,89.1,195,918,4.7,4,171,1877,11,12,0,0,4,4,1,1,6,0
Chargers,232,149,64.2,6.9,1519,11,94.7,150,678,4.5,4,149,1597,10.7,11,0,0,3,2,1,2,3,1
Chiefs,228,137,60.1,6.9,1482,9,77.6,213,1049,4.9,7,137,1574,11.5,9,0,0,6,4,4,1,9,2
Colts,194,120,61.9,6.6,1198,7,71.7,151,530,3.5,4,120,1281,10.7,7,0,2,2,0,1,0,10,2
Cowboys,221,135,61.1,7.6,1609,16,106.7,241,1248,5.2,11,135,1669,12.4,16,1,0,2,1,1,0,1,0
Dolphins,209,130,62.2,7.5,1416,7,86.3,149,745,5,8,130,1562,12,7,0,0,6,3,2,2,5,0
Eagles,238,163,68.5,7.2,1543,13,102,204,913,4.5,11,163,1707,10.5,13,0,0,8,5,2,1,3,1
Falcons,276,197,71.4,8.7,2334,19,113.4,163,647,4,6,197,2411,12.2,19,0,0,6,3,2,2,5,0
FootballTeam,197,125,63.5,7.4,1301,10,85.7,205,863,4.2,8,125,1455,11.6,10,0,1,7,1,1,1,8,0
Giants,246,169,68.7,7.7,1759,12,99.1,199,735,3.7,7,169,1889,11.2,12,1,0,5,4,3,3,5,1
Jaguars,236,169,71.6,8.5,1973,15,107.6,219,998,4.6,10,169,1995,11.8,15,0,0,1,0,0,0,6,0
Jets,238,170,71.4,7.9,1816,11,97.6,206,879,4.3,9,170,1877,11,11,0,0,4,3,0,3,7,1
Lions,212,136,64.2,7.4,1492,11,94,174,791,4.5,9,136,1579,11.6,11,0,0,6,2,2,2,5,0
Packers,200,142,71,7.8,1442,11,107.7,145,660,4.6,7,142,1551,10.9,11,0,1,5,2,2,1,2,1
Panthers,258,178,69,6.3,1590,9,91.1,177,868,4.9,10,178,1630,9.2,9,0,0,6,6,1,4,4,0
Patriots,168,114,67.9,8.6,1369,9,92.4,178,793,4.5,5,114,1442,12.6,9,1,0,4,4,1,2,8,1
Raiders,222,144,64.9,7.8,1703,11,99.7,156,719,4.6,12,144,1740,12.1,11,0,0,1,0,1,0,3,0
Rams,254,167,65.7,6.5,1487,8,84.6,167,703,4.2,5,167,1649,9.9,8,0,0,4,2,0,1,6,0
Ravens,232,149,64.2,6.7,1385,8,89.7,143,654,4.6,4,149,1559,10.5,8,2,0,13,8,4,6,3,0
Saints,199,132,66.3,7.7,1432,17,111.6,155,538,3.5,5,132,1530,11.6,17,0,0,1,2,0,3,3,1
Seahawks,287,194,67.6,7.8,2212,11,92.1,163,663,4.1,7,194,2243,11.6,11,0,1,6,4,2,2,8,0
Steelers,202,118,58.4,7.3,1305,11,82.9,122,413,3.4,4,118,1480,12.5,11,0,1,2,1,0,2,8,1
Texans,238,165,69.3,7.8,1762,17,114.5,223,1161,5.2,9,165,1862,11.3,17,0,0,3,3,1,0,1,0
Titans,238,157,66,7.1,1632,15,92,160,779,4.9,5,157,1694,10.8,15,0,0,7,3,3,6,9,0
Vikings,211,144,68.2,8.5,1720,14,110.4,185,762,4.1,5,144,1787,12.4,14,0,0,6,2,0,4,3,0
