,Name,Position,Team,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Points Total
0,Jason Sanders,K,MIA,4,-,2,1,1,1,21.00
1,Graham Gano,K,NYG,2,-,1,-,-,3,20.00
2,Wil Lutz,K,NO,3,-,-,1,1,1,14.00
3,Ryan Succop,K,TB,1,-,1,2,1,-,13.00
4,Greg Zuerlein,K,DAL,4,-,1,1,1,-,13.00
5,Ka'imi Fairbairn,K,HOU,3,-,-,2,1,-,12.00
6,Younghoe Koo,K,ATL,1,-,-,1,1,1,12.00
7,Cody Parkey,K,CLE,3,-,1,1,1,-,12.00
8,Rodrigo Blankenship,K,IND,2,-,1,2,-,-,11.00
9,Joey Slye,K,CAR,2,-,1,2,-,-,11.00
10,Dan Bailey,K,MIN,2,-,-,-,1,1,10.00
11,Daniel Carlson,K,LV,4,-,-,1,1,-,10.00
12,Justin Tucker,K,BAL,3,-,-,1,1,-,9.00
13,Chris Boswell,K,PIT,5,-,-,-,1,-,8.00
14,Cairo Santos,K,CHI,2,-,-,1,1,-,8.00
15,Harrison Butker,K,KC,3,-,-,1,-,-,6.00
16,Zane Gonzalez,K,ARI,3,-,-,-,1,-,6.00
17,Stephen Gostkowski,K,TEN,6,-,-,-,-,-,6.00
18,Sam Sloman,K,LA,3,-,1,-,-,-,6.00
19,Robbie Gould,K,SF,2,-,-,1,-,-,5.00
20,Tyler Bass,K,BUF,1,-,-,-,1,-,4.00
21,Sam Ficken,K,NYJ,1,-,1,-,-,-,4.00
22,Dustin Hopkins,K,WAS,1,-,-,-,1,-,4.00
23,Mike Badgley,K,LAC,3,-,-,-,-,-,3.00
24,Randy Bullock,K,CIN,-,-,-,1,-,-,3.00
25,Jake Elliott,K,PHI,3,-,-,-,-,-,3.00
26,Jason Myers,K,SEA,3,-,-,-,-,-,3.00
27,Stephen Hauschka,K,JAX,2,-,-,-,-,-,2.00
28,Ramiz Ahmed,K,,-,-,-,-,-,-,0.00
29,Jon Brown,K,JAX,-,-,-,-,-,-,0.00
30,Mason Crosby,K,GB,-,-,-,-,-,-,0.00
31,Nick Folk,K,NE,-,-,-,-,-,-,0.00
32,Kai Forbath,K,CAR,-,-,-,-,-,-,0.00
33,Elliott Fry,K,,-,-,-,-,-,-,0.00
34,Matt Gay,K,,-,-,-,-,-,-,0.00
35,Lirim Hajrullahu,K,,-,-,-,-,-,-,0.00
36,Greg Joseph,K,,-,-,-,-,-,-,0.00
37,Josh Lambo,K,JAX,-,-,-,-,-,-,0.00
38,Ty Long,K,LAC,-,-,-,-,-,-,0.00
39,Austin MacGinnis,K,,-,-,-,-,-,-,0.00
40,Brett Maher,K,WAS,-,-,-,-,-,-,0.00
41,Tucker McCann,K,,-,-,-,-,-,-,0.00
42,Chase McLaughlin,K,,-,-,-,-,-,-,0.00
43,Brandon McManus,K,DEN,-,-,-,-,-,-,0.00
44,Eddy Pineiro,K,CHI,-,-,-,-,-,-,0.00
45,Matt Prater,K,DET,-,-,-,-,-,-,0.00
46,Justin Rohrwasser,K,,-,-,-,-,-,-,0.00
47,Aldrick Rosas,K,,-,-,-,-,-,-,0.00
48,Austin Seibert,K,CLE,-,-,-,-,-,-,0.00
49,Kaare Vedvik,K,CAR,-,-,-,-,-,-,0.00
50,Adam Vinatieri,K,,-,-,-,-,-,-,0.00
51,Tristan Vizcaino,K,,-,-,-,-,-,-,0.00
52,Nick Vogel,K,,-,-,-,-,-,-,0.00
53,Brandon Wright,K,JAX,-,-,-,-,-,-,0.00
